Time, CPU Usage, CPU Temp, 
2020-08-02 20:58:33.201489,-0.0,{'cpu_thermal': [shwtemp(label='', current=48.199, high=None, critical=None)]}
2020-08-02 20:58:43.215613,0.0,{'cpu_thermal': [shwtemp(label='', current=48.199, high=None, critical=None)]}
2020-08-02 20:58:53.229673,3.4,{'cpu_thermal': [shwtemp(label='', current=50.147, high=None, critical=None)]}
2020-08-02 20:59:03.243960,3.4,{'cpu_thermal': [shwtemp(label='', current=49.66, high=None, critical=None)]}
2020-08-02 20:59:13.258086,2.6,{'cpu_thermal': [shwtemp(label='', current=49.173, high=None, critical=None)]}
2020-08-02 20:59:23.272237,1.9,{'cpu_thermal': [shwtemp(label='', current=49.173, high=None, critical=None)]}
2020-08-02 20:59:33.286502,2.3,{'cpu_thermal': [shwtemp(label='', current=50.147, high=None, critical=None)]}
2020-08-02 20:59:43.300704,1.5,{'cpu_thermal': [shwtemp(label='', current=50.147, high=None, critical=None)]}
2020-08-02 20:59:53.314909,0.0,{'cpu_thermal': [shwtemp(label='', current=49.66, high=None, critical=None)]}
2020-08-02 21:00:03.328884,-0.0,{'cpu_thermal': [shwtemp(label='', current=49.66, high=None, critical=None)]}
