Date,Time,CPU Core 1 (C),CPU Core 2 (C),CPU Core 3 (C),CPU Core 4 (C),CPU PECI (C),CPU Proximity (C),CPU System Agent Core (C),Intel Iris Pro GPU (C),Battery (C),Battery Management Unit (C),Battery Proximity (C),Air Flow Proximity (C),AirPort Proximity (C),Left Heatsink Proximity (C),Platform Controller Hub Die (C),Right Heatsink Proximity (C),Memory Module Proximity (C),Memory Slot (C),Palmrest Proximity (C),Palmrest Proximity (C),SSD A (C),SSD B (C),CPU Average (C),Computer Average (C)
2020-08-02,20:44:32,38,37,34,39,39,34,30,39,29,29,28,33,33,33,39,33,38,37,27,27,31,31,36,33
2020-08-02,20:44:34,37,36,31,38,39,35,30,37,29,29,28,33,33,33,39,33,38,37,27,27,31,31,35,33
2020-08-02,20:44:36,38,38,31,36,39,34,30,38,29,29,28,33,33,33,39,33,38,37,27,27,31,31,35,33
2020-08-02,20:44:38,39,39,33,36,39,34,31,37,29,29,28,33,33,33,39,33,38,37,27,27,31,31,36,33
2020-08-02,20:44:40,39,38,32,37,39,35,32,38,29,29,28,33,33,33,39,33,38,36,27,27,31,31,36,33
2020-08-02,20:44:42,39,36,34,38,39,34,31,37,29,29,28,33,33,33,39,33,38,36,27,27,31,31,36,33
2020-08-02,20:44:44,40,38,36,36,39,35,30,36,29,29,28,33,33,33,39,33,38,37,27,27,31,31,36,33
2020-08-02,20:44:46,37,39,34,33,39,35,31,39,29,29,28,33,33,33,39,33,38,37,27,27,31,31,35,33
2020-08-02,20:44:48,38,36,32,37,39,35,30,37,29,29,28,33,33,33,39,32,38,37,27,27,31,31,35,33
2020-08-02,20:44:50,37,37,32,37,39,34,30,37,30,30,28,33,33,33,39,32,38,37,27,27,31,31,35,33
2020-08-02,20:44:52,36,35,32,36,39,34,30,36,30,30,28,33,33,33,39,32,38,37,27,27,31,31,35,33
2020-08-02,20:44:54,37,36,34,39,39,34,31,39,30,30,28,33,33,32,39,32,38,37,27,27,31,31,36,34
2020-08-02,20:44:56,40,37,32,37,39,34,30,38,30,30,28,33,33,33,39,32,38,37,27,27,31,31,36,33
2020-08-02,20:44:58,39,38,35,37,39,34,30,37,30,30,28,33,33,32,39,32,38,37,27,27,31,31,36,33
2020-08-02,20:45:00,38,39,37,38,41,34,30,38,30,30,28,33,33,32,39,33,38,37,27,27,31,31,37,34
2020-08-02,20:45:02,38,36,32,39,39,34,30,38,30,30,29,33,33,32,40,32,38,37,27,27,31,31,35,33
2020-08-02,20:45:04,38,36,31,38,39,35,31,39,30,30,29,33,33,32,39,32,38,37,27,27,31,31,35,33
2020-08-02,20:45:06,38,38,31,41,39,34,31,37,30,30,29,33,33,33,39,33,38,37,27,27,31,31,36,34
2020-08-02,20:45:08,38,36,36,37,39,34,30,38,30,30,29,33,33,33,39,33,38,37,27,27,31,31,36,34
2020-08-02,20:45:10,40,38,35,37,39,34,30,39,30,30,29,33,33,32,39,33,38,37,27,27,31,31,36,34
2020-08-02,20:45:12,37,36,34,37,39,34,31,39,30,30,29,33,33,33,39,33,38,37,27,27,31,31,35,34
2020-08-02,20:45:14,39,38,35,39,39,34,30,38,30,30,29,33,33,32,39,33,38,37,27,27,31,31,36,34
2020-08-02,20:45:16,37,39,34,38,39,34,31,37,30,30,29,33,33,32,39,33,38,37,27,27,31,31,36,34
2020-08-02,20:45:18,39,37,33,36,39,34,32,38,30,30,29,33,32,32,39,33,38,37,27,27,31,31,36,34
2020-08-02,20:45:20,38,36,33,35,39,34,30,40,30,30,29,33,33,32,39,32,38,37,27,27,31,31,35,33
2020-08-02,20:45:22,37,38,31,36,39,34,30,37,30,30,29,33,32,32,39,33,38,37,27,27,31,31,35,33
2020-08-02,20:45:24,38,37,32,39,38,34,32,39,30,30,29,33,32,33,39,33,38,37,27,27,31,31,36,34
2020-08-02,20:45:26,39,38,34,38,39,34,31,38,30,30,29,33,32,32,39,33,38,37,27,27,31,31,36,34
2020-08-02,20:45:28,38,38,32,37,38,34,30,38,30,30,29,33,32,32,39,33,38,37,27,27,31,31,35,33
2020-08-02,20:45:30,38,36,32,37,38,34,30,38,30,30,29,33,32,32,39,33,38,37,28,27,31,31,35,33
2020-08-02,20:45:32,37,38,32,36,39,34,31,38,30,30,29,33,33,33,39,33,38,37,28,27,31,31,35,34
